id;uid;ent_aa_acod;ent_aa_adsc
1;ddfa7147-c341-4f8e-9315-b314857e9293;Chair;communities Keyboard
2;c49193ac-b067-4222-a52a-2f54c17f306e;killer Keyboard supply-chains;yellow Central
3;21e243cc-e747-4d51-a70e-ff3f384a2475;Borders;Sleek
4;314ea79c-3127-4060-ac33-14568d36dd94;Avon ivory Wooden;programming networks
5;e3150be8-30ab-4932-aea4-6e33f6a75b50;capacitor SDR Refined;Granite Engineer
6;39e5c075-80a8-4bb2-b543-9745482ba8ab;National interfaces monitor;dynamic real-time magnetic
7;dd14e3cc-f7f3-4523-bdd0-95adb8cebffd;Rubber plum;platforms
8;68f55cb4-955a-459b-b474-89c5e5d93aa2;systems Chicken;dynamic Fresh
9;b22acac1-8a97-463a-857f-d071175c0100;Cambridgeshire motivating efficient;synthesizing calculating e-tailers
10;dac8389c-6ca0-4134-874d-e672bfd5bc9b;Jewelery;Inlet
