id;uid;ent_dd_dcod;ent_dd_ddsc
1;8a4668d2-0212-4a3d-b2d9-1e938281034f;back-end Licensed modular;Web National Towels
2;2084ac20-9979-4617-a607-e0fc08e698bf;Towels Sports;Africa
3;d4140d0f-5ea5-4091-9e5c-2c3a09826991;budgetary Operations;Loan Plastic
4;3c4b3d28-f0fe-495b-8541-e708a178ff76;plug-and-play;override
5;8a0844e1-6577-49a1-85a5-3ea4c3cd904b;Sports Account JBOD;Alaska
6;21ebf630-5086-44f7-9b88-ab78c0b6b776;user-centric Minnesota Fantastic;Applications Bypass
7;4c97fbfd-f51f-4af8-a27f-a33f89f20693;vortals;array Gabon Colorado
8;f5b5d3b7-47fe-44bf-8a6c-57a1bf162773;Principal;blue sky redefine
9;b9d66743-49df-479a-8c14-813b9f2f675a;microchip De-engineered;District Korean
10;0dcd2194-5fc0-4875-b6c3-41936b9eee85;copying generation;Sleek Jewelery Metrics
