id;uid;ent_aa_auid;ent_bb_bcod;ent_bb_bdsc
1;b59042cc-7611-4656-b541-d5f68e947d6f;70844;Dollar Creative;Units
2;af3b80f2-74ce-42db-a2d9-828c9d24ff2e;46925;Guinea;Officer Landing
3;1316047f-2335-40fd-a9f7-b5bbb0b48351;63918;El Concrete;Avon
4;2ad766f4-2525-4155-9c00-b8239bbe24c1;18742;interface hard harness;Designer
5;6204346a-2e3f-485e-b113-a062b6474afd;4276;lime Liaison Loan;Usability Table turquoise
6;0dc1132e-2579-4683-bec5-3ffbcc84fce9;72999;Russian;Pula
7;251a3b3a-c6e6-40d6-a270-d165926b2551;46804;hack;Avon Internal
8;17551f8c-9fe4-49a3-a3ef-e1f428b2e6f2;12240;blue redefine;transmit bypassing markets
9;4096e7f8-e1b0-461e-9a22-af2151a9ca30;46633;York sensor;payment Architect COM
10;131c1578-8ea4-4b86-a3a8-b93253ef8f9a;26580;PCI;payment Villages
