id;uid;ent_cc_ccod;ent_cc_cdsc
1;ab7ddb0b-c39f-4490-8fd0-6c4ba6775e96;Director Account;conglomeration Russian transmitter
2;de36a910-6914-4213-8711-c3502e1812be;Gambia blue;engineer copying
3;fff724c8-0693-4fea-bed3-64b6d21864a4;Developer invoice Pound;Money
4;bdfe0c5e-0bdb-4b0d-ae02-1798186bcdb3;Intelligent Forest;Multi-lateral Gibraltar Course
5;4d293b83-52b5-4a4c-bcb8-048fc17662f8;optical Berkshire;Brand
6;b7c194ec-283b-4dda-881c-2c48db330b76;Loan methodology;Associate yellow invoice
7;aa25a5db-e930-4f13-b2fa-60cc42717dcf;parse Account eyeballs;system magenta bandwidth
8;d311187f-6b62-4414-9190-ab387fbd232e;Bedfordshire Corporate;orchestrate Avon
9;ae09ea12-2090-4db6-b7ad-98179435b519;multi-byte synthesize Paradigm;Customer navigating Arkansas
10;5a4fe2f5-1fc6-4c6f-9204-1228ff176ceb;Checking web-readiness;Kentucky Plastic quantifying
