id;uid;ent_cc_cuid;ent_ee_ecod;ent_ee_edsc
1;889f0f20-a8d4-449e-8bc3-e815d20c9f83;58125;quantify;Account Korean auxiliary
2;2d22f989-97b7-48be-9c16-35afb5addd28;1519;scalable Refined e-enable;Gorgeous
3;20b779a8-860b-4329-a138-02b092778edf;66429;high-level invoice;Granite payment mobile
4;ca56fa33-2a98-44b6-92c4-adb976f73d40;22765;Fantastic Orchestrator withdrawal;Grocery Markets
5;85bda1b4-5568-439f-84f2-f2ff358b5eeb;82982;Virginia microchip;overriding Berkshire
6;36b9d952-6c54-430a-a67a-25a5533f3038;20405;blue Customer;Auto Sudanese SAS
7;24eec9b5-dd33-49ca-85e8-4394edf103e0;51716;Branding Bedfordshire;Central withdrawal
8;933b5cbe-5419-4915-9ad1-dbefb9e36526;18409;Mandatory architect Research;Regional
9;3765f6aa-ccf2-4db7-87a8-7b3ea604d28f;37093;paradigms;Field input
10;83761597-b079-4aeb-9249-bd50dcff21c7;17011;calculate robust;orchestration Intelligent Supervisor
